"frase","sentimento"
"Estou tão feliz que mal posso me conter!","alegria"
"Essa notícia iluminou o meu dia!","alegria"
"Não acredito que isso realmente aconteceu, estou nas nuvens!","alegria"
"Este é o melhor dia da minha vida.","alegria"
"Estou rindo de orelha a orelha!","alegria"
"Isso me faz sentir tão vivo!","alegria"
"Hoje é um dia maravilhoso!","alegria"
"Estou no topo do mundo!","alegria"
"Esse momento é pura felicidade!","alegria"
"Estou flutuando de alegria!","alegria"
"Isso me assusta muito!","medo"
"Ouvi um barulho estranho no escuro.","medo"
"Estou com um pressentimento ruim sobre isso.","medo"
"Isso é verdadeiramente aterrorizante!","medo"
"Tenho medo do que está por vir.","medo"
"Eu tremo só de pensar nisso.","medo"
"Estou com o coração na mão.","medo"
"Algo não parece certo.","medo"
"Sinto um arrepio na espinha.","medo"
"Isso é de dar calafrios!","medo"
"Que surpresa maravilhosa me encontrar com você!","alegria"
"Meus sonhos estão finalmente se tornando realidade.","alegria"
"Meu coração está dançando de felicidade!","alegria"
"Sinto como se estivesse voando!","alegria"
"Estou tão animado que mal posso esperar!","alegria"
"Eu simplesmente amo momentos assim!","alegria"
"Isso é mágico!","alegria"
"Este presente me fez tão feliz!","alegria"
"Estou tão agradecido por este momento.","alegria"
"Sinto borboletas no estômago de tanta alegria.","alegria"
"A escuridão sempre me deixa nervoso.","medo"
"Essa história me deixou com medo.","medo"
"Não quero ficar sozinho no escuro.","medo"
"Sinto como se alguém estivesse me observando.","medo"
"Este lugar dá arrepios.","medo"
"Eu odeio filmes de terror porque eles me assustam.","medo"
"Essa sombra na parede me deixa desconfortável.","medo"
"Aquela lenda urbana sempre me assusta.","medo"
"Eu temo pelo pior.","medo"
"Algo está espreitando nas sombras.","medo"
"Acordar ao som dos pássaros me traz tanta alegria.","alegria"
"Estou emocionado com a viagem que vamos fazer!","alegria"
"Os primeiros raios de sol sempre me animam.","alegria"
"Receber uma carta sua é motivo de celebração.","alegria"
"Eu sorri o dia todo depois daquela notícia.","alegria"
"A música me levou a um estado de pura euforia.","alegria"
"Estou nas nuvens desde o último final de semana.","alegria"
"Seu abraço sempre me deixa tão contente.","alegria"
"Os fogos de artifício iluminaram meu coração.","alegria"
"Eu sinto uma alegria contagiante no ar!","alegria"
"Eu não quero olhar por baixo da cama; temo o que posso encontrar.","medo"
"O silêncio da casa vazia é ensurdecedor.","medo"
"Ouço passos no corredor quando todos estão dormindo.","medo"
"Os gritos naquela noite me mantêm acordado.","medo"
"Eu temo que algo ruim aconteça se eu for por aquele caminho.","medo"
"Os contos daquela floresta sempre me fizeram evitar o lugar.","medo"
"Esse vulto na janela me fez pular de susto.","medo"
"O canto daquela canção antiga sempre me dá calafrios.","medo"
"Não sei explicar, mas sinto um medo profundo desse lugar.","medo"
"Eu evito olhar para o espelho à meia-noite.","medo"
"Quando você sorri, meu dia se ilumina.","alegria"
"A notícia da sua promoção me deixou extasiado.","alegria"
"Cada risada compartilhada fortalece minha felicidade.","alegria"
"Estou radiante com as possibilidades que estão por vir!","alegria"
"Seu elogio encheu meu coração de alegria.","alegria"
"Eu pulo de entusiasmo só de pensar na nossa viagem.","alegria"
"O cheiro de bolo assando sempre me traz sensações alegres.","alegria"
"É tão bom estar rodeado de amigos e sentir essa alegria contagiante.","alegria"
"O sucesso do meu projeto é pura felicidade.","alegria"
"Essa dança me eleva a um estado de júbilo!","alegria"
"O vento sussurrando à noite me traz desconforto.","medo"
"Estou ansioso sobre o que me espera no escuro.","medo"
"A tempestade iminente parece ameaçadora.","medo"
"Ouvi histórias assustadoras sobre esse velho prédio.","medo"
"Aquele olhar me dá um sentimento de inquietação.","medo"
"Eu sempre temo quando o telefone toca no meio da noite.","medo"
"O barulho estridente me fez estremecer.","medo"
"Aquela rua deserta sempre me deixa apreensivo.","medo"
"O desconhecido é sempre uma fonte de medo para mim.","medo"
"Sinto um frio na barriga sempre que passo por aquele beco.","medo"
"O brilho em seus olhos é pura alegria.","alegria"
"O som da risada das crianças me deixa tão feliz.","alegria"
"Esse clima festivo me faz querer dançar!","alegria"
"Cada novo dia é uma nova chance de ser feliz.","alegria"
"Seu sucesso é uma fonte de alegria para todos nós.","alegria"
"Receber boas notícias me faz sentir onipotente.","alegria"
"O aroma da primavera sempre me traz sensações alegres.","alegria"
"Estou exultante com essa conquista inesperada!","alegria"
"Ver minha família reunida é meu maior prazer.","alegria"
"O entusiasmo contagiante daquele grupo me animou.","alegria"
"Os gritos na floresta fazem meu coração parar.","medo"
"O antigo asilo da cidade tem uma atmosfera assustadora.","medo"
"O filme tinha cenas que me fizeram cobrir os olhos.","medo"
"Sempre sinto um calafrio quando passo pelo cemitério à noite.","medo"
"O relato daquele acidente me deixou horrorizado.","medo"
"Cada rangido da casa vazia intensifica meu medo.","medo"
"A lenda daquele lugar me impede de visitá-lo.","medo"
"Eu sempre temo o pior quando estou sozinho em casa.","medo"
"Esses ruídos inexplicáveis me dão arrepios.","medo"
"O olhar daquela estátua é perturbador.","medo"
"Seu entusiasmo é contagiante e me faz sorrir.","alegria"
"Essa celebração é o ápice da minha felicidade!","alegria"
"Ver o nascer do sol me enche de esperança e alegria.","alegria"
"A expectativa para as férias me deixa eufórico!","alegria"
"Relembrar momentos felizes sempre aquece meu coração.","alegria"
"Estou jubiloso por termos alcançado nossa meta!","alegria"
"Ouvir sua voz é sinônimo de felicidade.","alegria"
"A chegada da primavera me traz grande alegria.","alegria"
"O brilho das estrelas me faz sonhar e sentir alegria.","alegria"
